Channel,Cons_12m,Cons_gas_12m,Forecast_discount_energy,Has_gas,Imp_cons,Margin_net,Net_margin,Origin,Pow_max,Churn,contract_modification_interval,contract_interval,price_off_peak_fix,price_mid_peak_fix,avg_price_annual,avg_price_6_months,avg_price_3_months
BB,94191,0,0,0,43.16,26.04,49.12,A,10.392,1,0,6,44.26693,0,0.14895792057116827,0.1480628592627389,0.14678800106048584
BB,20318,0,0,0,238.76,29.43,250.51,A,27.713,0,3,4,40.565968,16.226389,0.12488991518815358,0.12050671236855644,0.11817499995231628
FF,24194,24944,0,1,506.28,7.02,365.43,A,15,0,0,5,44.26693,0,0.1482293332616488,0.14703457057476044,0.1459994986653328
AA,22514,11521,0,1,197.71,3.81,268.64,A,20,0,3,4,40.565968,16.226389,0.12377716352542241,0.12107085543019432,0.11823974922299385
DD,3042,0,0,0,0,14.64,38.94,E,10.392,0,0,4,44.26693,0,0.14979741101463637,0.14867628046444484,0.147599995136261
AA,5767,0,0,0,0,18.62,85.73,B,13.2,0,0,6,44.26693,0,0.14935291185975075,0.14867628046444484,0.147599995136261
BB,5615,0,0,0,139.32,23.36,70.26,A,15,0,5,6,44.44471,0,0.15060849860310555,0.1488660020487649,0.1468450054526329
BB,7146,0,0,0,150.99,14.64,104.54,A,10.392,0,1,4,44.26693,0,0.14979741101463637,0.14867628046444484,0.147599995136261
AA,8656,14737,0,1,0,22.18,110.42,E,15.001,0,0,5,40.565968,16.226389,0.1238738310833772,0.1212365712438311,0.11852975189685822
BB,16632,0,0,0,0,34.68,22.73,A,13.856,1,0,4,44.26693,0,0.1506431686381499,0.14925785788467952,0.14798299968242645
BB,19523,0,0,0,202.14,4.59,244.94,A,24.249,1,3,6,40.565968,16.226389,0.1238738310833772,0.1212365712438311,0.11852975189685822
DD,6978,0,0,0,0,21.78,78.42,A,13.2,0,4,5,44.44471,0,0.14877083028356233,0.14621314193521226,0.14481399953365326
FF,2491,0,0,0,0,19.2,39.53,B,10.392,0,0,5,44.26693,0,0.14991324519117674,0.14887485333851405,0.147599995136261
FF,1421,0,0,0,42.04,20.36,22.1,A,12.5,0,1,4,44.26693,0,0.14985532810290655,0.14877556690147944,0.147599995136261
BB,21380,0,0,0,272.17,16.59,146.67,A,13.15,0,2,3,44.26693,0,0.14979741101463637,0.14867628046444484,0.147599995136261
BB,4593,0,0,0,0,22.52,33.47,A,13.856,1,0,4,44.26693,0,0.1449903299411138,0.14373842307499476,0.14249399304389954
BB,7633,0,0,0,76.55,38.16,92.83,A,15.3,1,4,5,40.565968,16.226389,0.12721116902927557,0.12448200051273618,0.1216097492724657
BB,24067,1183,0,1,179.83,29.64,295.88,A,19.8,0,2,3,40.565968,16.226389,0.12588557973504066,0.12397871272904533,0.12164700031280518
DD,4247,15114,0,1,0,27.32,61.19,B,13.2,0,0,6,44.26693,0,0.1512171688179175,0.14986085891723633,0.14858600497245789
AA,15381,0,0,0,8.5,11.61,189.66,A,15.03,1,3,4,40.565968,16.226389,0.12272558112939198,0.12040385603904724,0.11817499995231628
BB,6628,0,0,0,0,24.06,94.17,A,10.392,1,3,5,44.26693,0,0.1498646711309751,0.14860014617443085,0.14743950217962265
BB,1374,0,0,0,9.69,23.72,34.42,A,15.001,0,2,3,40.565968,16.226389,0.12434450040260951,0.12070199847221375,0.11817499995231628
FF,4043,14289,0,1,35.61,29.85,48.81,A,16.5,0,0,3,40.565968,16.226389,0.12536008469760418,0.12244300012077604,0.11991599947214127
BB,48318,0,0,0,132.46,31.65,138.52,A,17.5,1,0,4,40.565968,16.226389,0.1277973335236311,0.12571971437760762,0.12338799983263016
BB,16556,0,0,0,0,21.52,16.14,A,13.2,1,0,4,44.26693,0,0.14985532810290655,0.14877556690147944,0.147599995136261
BB,3746,0,0,0,0,30.98,20.16,A,15,0,0,4,44.26693,0,0.1512171688179175,0.14986085891723633,0.14858600497245789
BB,26950,0,0,0,77.17,21.58,71.62,A,13.856,0,4,5,44.26693,0,0.15000933408737183,0.14826957029955729,0.14625349640846252
FF,9771,49283,0,1,0,20.54,5.12,A,10.392,1,1,4,44.26693,0,0.1498646711309751,0.14860014617443085,0.14743950217962265
AA,14234,0,0,0,28.94,5.84,46.94,E,27.713,0,4,5,40.565968,16.226389,0.12517141488691172,0.12346100062131882,0.11780575104057789
BB,5226,0,0,0,0,33.12,83.89,B,13.2,0,5,7,44.26693,0,0.14977841700116792,0.14777542650699615,0.14538874477148056
BB,20035,0,0,0,0,26.02,25.73,A,13.2,0,4,5,44.26693,0,0.14957658698161444,0.14752771811825888,0.14495525509119034
DD,7263,0,0,0,0,19.48,110.15,B,13.856,0,0,6,44.26693,0,0.14979741101463637,0.14867628046444484,0.147599995136261
AA,8041,0,0,0,219.75,12.36,109.52,E,10.392,0,0,4,44.26693,0,0.14861158778270087,0.14746914591108048,0.14652825146913528
BB,5677,21,0,1,154.03,19.48,73.91,E,13.856,0,6,7,44.26693,0,0.14747833336393038,0.14602442511490413,0.14504699409008026
BB,10989,0,0,0,0,22.95,99.06,E,13.856,0,0,4,44.26693,0,0.16797774409254393,0.16679828081812179,0.165475994348526
BB,19625,0,0,0,0,26.73,32.09,A,13.2,1,4,5,44.26693,0,0.14916300401091576,0.1468187187399183,0.14371450617909431
BB,16977,340628,0,1,144.48,14.68,189.31,A,16,0,0,6,40.565968,16.226389,0.1227555808921655,0.12045528420380183,0.11817499995231628
BB,6769,0,0,0,155.84,25.56,96.37,A,13.86,0,4,5,44.44471,0,0.14775466422239938,0.14632185229233333,0.14504699409008026
BB,963,0,0,0,0,33.12,14.3,A,13.2,0,4,7,44.26693,0,0.1463684986035029,0.14533100170748575,0.14457900449633598
DD,67172,0,0,0,0,21.78,130.53,E,10.392,0,1,4,44.26693,0,0.15016958490014076,0.14946028590202332,0.1483372487127781
BB,19182,0,0,0,317.51,16.59,145.25,A,13.15,0,1,4,44.26693,0,0.1477732521792253,0.14727057303701127,0.14678800106048584
BB,38077,0,30,0,29.87,41.36,25.01,A,24.24,0,4,5,40.565968,16.226389,0.1351263349254926,0.13805085633482253,0.14160499721765518
DD,6556,0,0,0,0,21.48,92.11,A,10.392,0,2,3,44.26693,0,0.17051166792710623,0.16912028406347548,0.1677979975938797
DD,14394,0,0,0,144.39,17.98,114.53,B,17.25,0,5,6,40.565968,16.226389,0.12378799604872863,0.12117328281913485,0.11885099858045578
AA,35400,74,0,1,219.2,29.76,197.16,A,13.2,0,0,7,44.26693,0,0.1506431686381499,0.14925785788467952,0.14798299968242645
BB,17518,126033,0,1,0,17.81,180.83,E,23.1,0,0,7,40.565968,16.226389,0.12272558112939198,0.12040385603904724,0.11817499995231628
BB,6173,0,0,0,0,21.24,99.1,A,15,0,0,6,44.26693,0,0.15082200119892755,0.1496627139193671,0.14869149774312973
FF,4536,0,0,0,0,7.8,74.83,A,10.392,0,1,4,44.26693,0,0.14968157932162285,0.14847771184785025,0.14742624759674072
BB,7448,0,0,0,0,15.12,91.86,B,13.2,1,6,7,44.26693,0,0.1491998371978601,0.1474604308605194,0.14544500038027763
DD,10561,0,0,0,0,37.92,142.5,B,19,1,5,6,40.565968,16.226389,0.1245854174097379,0.1212814279964992,0.11875499784946442
DD,12303,435,0,1,0,29.76,158.24,E,13.2,0,0,4,44.26693,0,0.14766657973329225,0.14636785217693873,0.14509299397468567
BB,4696,12969,0,1,0,21.48,48.05,A,10.392,0,0,3,44.26693,0,0.1512171688179175,0.14986085891723633,0.14858600497245789
BB,12369,0,0,0,0,28.2,175.04,A,12.5,1,0,4,44.26693,0,0.14841583371162415,0.147354285631861,0.1465590000152588
AA,8979,0,0,0,135.08,32.25,10.96,A,15,1,0,4,44.26693,0,0.1684799169500669,0.16737928773675645,0.16605700552463531
BB,1809,0,0,0,43.63,21.64,33.31,E,10.392,0,3,4,44.26693,0,0.1498064137995243,0.14841913751193456,0.14782099425792694
BB,8378,0,0,0,99.07,28.02,101.75,A,20.7,1,1,4,40.565968,16.226389,0.1254740015914043,0.12263828622443336,0.11991599947214127
BB,12259,0,0,0,2.8,16.92,36.05,A,10.392,0,0,3,44.26693,0,0.14985532810290655,0.14877556690147944,0.147599995136261
BB,42625,0,0,0,58.2,15.91,207.28,B,20.7,0,0,5,40.565968,16.226389,0.1254740015914043,0.12263828622443336,0.11991599947214127
AA,8010,0,0,0,0,15.78,99.61,B,13.856,0,4,5,44.26693,0,0.14972108354171118,0.14777542650699615,0.14538874477148056
AA,71314,0,0,1,24.58,26.79,30.95,E,19.8,0,10,11,40.565968,16.226389,0.1223860817650954,0.11982185712882451,0.11759500205516815
BB,5678,0,0,0,0,26.04,82.21,A,10.392,0,3,4,44.26693,0,0.1500666675468286,0.14826957029955729,0.14625349640846252
AA,2096,0,0,0,0,26.04,30.73,B,10.392,0,3,4,44.26693,0,0.14955442026257515,0.1483665747301919,0.1470307521522045
BB,16835,0,0,0,332.5,27.6,146.16,A,17,0,0,4,40.565968,16.226389,0.12049758496383826,0.11818571708032063,0.11585400253534317
BB,3858,0,0,0,59.95,29.56,28.32,A,15,0,4,5,44.26693,0,0.15000933408737183,0.14826957029955729,0.14625349640846252
BB,87613,0,0,0,258.23,22.32,339.73,A,16.5,0,0,3,40.565968,16.226389,0.12519333325326443,0.12224771401711873,0.11991599947214127
BB,8195,0,0,0,0,34.68,119.35,A,13.856,1,5,6,45.760933,0,0.1656355025867621,0.14819914528301784,0.14017200469970703
AA,1731,0,0,1,0,28.8,28.3,B,11.5,0,5,7,44.44471,0,0.15095616380373636,0.149363283600126,0.1477152481675148
FF,13680,0,0,0,0,10,205.31,A,15,0,1,4,44.26693,0,0.1482293332616488,0.14703457057476044,0.1459994986653328
BB,1505,0,0,0,23.25,21.64,19.1,A,10.392,0,3,4,44.26693,0,0.1489919995268186,0.14652556819575174,0.14493099600076675
BB,13844,0,0,0,0,20.76,182.13,A,12.5,0,0,3,44.26693,0,0.14761858060956,0.14632185229233333,0.14504699409008026
DD,2543,0,0,0,0,24.42,35.25,B,13.2,0,1,3,44.44471,0,0.14947491635878882,0.14887485333851405,0.147599995136261
BB,6900,0,0,0,36.01,19.38,47.46,A,10.5,0,1,4,44.26693,0,0.14946874603629112,0.14887485333851405,0.147599995136261
BB,7294,0,0,0,163.8,17.67,96.4,A,13.856,0,4,5,44.44471,0,0.15060849860310555,0.1488660020487649,0.1468450054526329
BB,4946,0,0,0,0,26.04,63.65,B,10.392,0,0,4,44.26693,0,0.16987783337632814,0.16844028447355544,0.16711799800395966
BB,491,0,0,0,7.84,26.04,8.21,E,10.392,0,0,4,44.26693,0,0.1506431686381499,0.14925785788467952,0.14798299968242645
DD,9899,0,0,0,0,18.62,74.83,B,13.2,0,0,6,44.26693,0,0.14979741101463637,0.14867628046444484,0.147599995136261
BB,3171,0,0,0,5.51,24.24,82.1,A,13.15,1,1,4,44.26693,0,0.14736483246088028,0.14632185229233333,0.14504699409008026
DD,10957,0,0,0,0.31,2.82,217.45,A,15.01,0,3,4,40.728886,16.291555,0.12545816165705523,0.12276399667773928,0.11995474807918072
AA,11448,0,0,0,92.51,20.64,124.2,B,19.8,0,5,6,40.565968,16.226389,0.12494200157622497,0.12117128606353487,0.1188490018248558
BB,10487,0,0,0,86,14.85,95.67,A,10.52,0,0,6,44.26693,0,0.16920342048009238,0.16848585861069815,0.1677969992160797
BB,13495,0,0,0,117.92,34.56,165.91,A,17.321,0,2,4,40.565968,16.226389,0.12514191617568335,0.12164185515471868,0.11968600004911423
BB,4796,0,28,0,0,45.12,99.73,A,13.856,0,3,4,45.760933,0,0.18972949807842573,0.18871285447052547,0.1874379962682724
BB,12480,0,0,0,376.62,25.6,161.35,A,13.8,0,0,4,44.26693,0,0.14828216657042503,0.1473078578710556,0.14603300392627716
BB,5036,0,0,0,0,14.64,65.32,A,10.392,0,2,5,44.26693,0,0.1449903299411138,0.14373842307499476,0.14249399304389954
BB,25083,0,0,0,0,33.84,213.36,A,15,1,3,4,44.26693,0,0.16545049970348677,0.164146859730993,0.16263975575566292
BB,20589,0,0,0,0,23.66,83.47,A,11.43,0,3,4,44.26693,0,0.14967016751567522,0.14829485544136592,0.14701999723911285
BB,15902,3728,0,1,167.2,16.06,131.51,E,11.4,0,6,7,44.26693,0,0.14646458129088083,0.14602442511490413,0.14504699409008026
BB,1750,0,0,0,6.08,37.39,21.87,A,16.5,0,0,4,40.565968,16.226389,0.1277973335236311,0.12571971437760762,0.12338799983263016
DD,13439,0,0,0,0,31.2,174.6,E,13.856,0,0,4,44.26693,0,0.14585050071279207,0.14463385939598083,0.1433590054512024
BB,58007,0,0,0,0,12.82,128.7,A,13.2,0,0,4,44.26693,0,0.14968157932162285,0.14847771184785025,0.14742624759674072
FF,7986,0,0,0,148.04,14.4,113.19,B,12.1,0,0,5,44.26693,0,0.1497394951681296,0.14857699615614756,0.147599995136261
AA,5167,0,0,0,53.38,29.12,60.55,A,20,0,0,7,40.565968,16.226389,0.12416558091839154,0.1217367138181414,0.11940500140190125
AA,11684,0,0,0,0,12.82,38.6,A,13.2,0,0,4,44.26693,0,0.14968157932162285,0.14847771184785025,0.14742624759674072
BB,1590,0,0,0,0,26.73,22.17,B,13.2,0,0,7,44.26693,0,0.1498646711309751,0.14860014617443085,0.14743950217962265
AA,5606,0,0,0,0,29.76,151.08,B,13.2,0,0,5,44.26693,0,0.14917116860548654,0.1480628592627389,0.14678800106048584
BB,8166,0,0,0,60.85,26.79,94.55,A,19.8,1,0,6,40.565968,16.226389,0.12272558112939198,0.12040385603904724,0.11817499995231628
DD,5433,0,0,1,8.03,50.15,67.53,B,22.1,0,0,3,40.565968,16.226389,0.1277973335236311,0.12571971437760762,0.12338799983263016
BB,11270,0,0,0,0,11.04,125.99,A,10.392,0,4,5,44.26693,0,0.14617900302012762,0.14428900182247162,0.14330600202083588
DD,3909,0,0,0,0,26.04,26.8,E,10.392,0,3,4,44.26693,0,0.15031583607196808,0.14859843041215623,0.1468290016055107
BB,17801,0,0,0,0,26.73,18.98,A,13.2,0,0,6,44.26693,0,0.1498646711309751,0.14860014617443085,0.14743950217962265
FF,1579,0,0,0,0,21.48,24.06,B,10.392,0,0,5,44.26693,0,0.1512171688179175,0.14986085891723633,0.14858600497245789
BB,26977,0,0,0,168.46,23.4,297.55,B,17.321,1,3,4,40.565968,16.226389,0.12198766879737377,0.11965457137141909,0.11749524809420109
AA,2418,0,0,0,0,19.2,25.54,B,10.392,0,0,5,44.26693,0,0.16855733841657639,0.16737828935895646,0.16605600714683533
BB,5456,0,0,0,103.75,23.1,83.91,A,12.5,0,0,6,44.26693,0,0.14991324519117674,0.14887485333851405,0.147599995136261
FF,5086,0,0,0,0,12.82,70.8,A,13.2,0,4,5,44.26693,0,0.14731741324067116,0.14442485570907593,0.14337049797177315
BB,67813,0,0,0,217.97,22.44,324.54,E,15.01,0,0,3,40.565968,16.226389,0.12646358087658882,0.12397871272904533,0.12164700031280518
BB,3400,0,0,0,0,33.12,57.6,A,13.2,1,0,4,44.26693,0,0.15070391818881035,0.14946028590202332,0.1483372487127781
BB,5973,0,0,0,67.84,24.62,32.86,A,12.5,0,3,4,44.26693,0,0.1498660867412885,0.1480240034205573,0.14582375437021255
DD,10926,0,0,0,0,16.44,35.61,E,13.856,0,0,6,44.26693,0,0.1705616613229116,0.16957570825304305,0.16895799338817596
BB,73051,0,0,0,249.26,20.26,331.81,A,15.001,0,0,5,40.565968,16.226389,0.12185558428366979,0.11991671579224723,0.11758500337600708
BB,7981,0,0,0,102.79,20.88,350.39,A,13.856,0,0,5,45.29281,0,0.18067308142781258,0.1791508538382394,0.17787599563598633
BB,12262,0,0,0,32.21,33.51,33.66,A,17.32,0,0,5,40.565968,16.226389,0.12735183537006378,0.12472314281123024,0.12203174829483032
BB,12255,0,0,0,261.32,9.2,128.93,A,13.856,0,0,5,44.26693,0,0.16660683353741965,0.16561957129410335,0.16499949991703033
BB,58824,528313,0,1,19.92,34.6,30.87,A,17.32,0,0,4,40.565968,16.226389,0.12707208593686423,0.12424357235431671,0.12119249999523163
AA,3191,0,0,0,0,18.62,48.29,E,13.2,0,0,6,44.26693,0,0.14979741101463637,0.14867628046444484,0.147599995136261
BB,839,0,0,0,16.12,33.62,10.01,A,16.5,0,1,4,40.565968,16.226389,0.1277973335236311,0.12571971437760762,0.12338799983263016
BB,4381,0,0,0,82.58,16.92,45.12,A,10.392,0,0,4,44.26693,0,0.17083566139141718,0.17004542265619552,0.16895799338817596
BB,23231,0,0,0,359.69,9.16,286.64,A,13.8,0,0,4,44.26693,0,0.14841583371162415,0.147354285631861,0.1465590000152588
BB,16623,0,0,0,67.59,9.96,193.58,A,13.15,0,1,4,44.26693,0,0.15033491825064024,0.14925785788467952,0.14798299968242645
BB,10267,0,0,0,146.67,19.5,114.76,A,17.321,0,3,4,40.565968,16.226389,0.12465750115613143,0.12123857119253703,0.11817499995231628
BB,9969,0,0,0,242.64,13.23,78.84,B,10.35,0,6,7,44.26693,0,0.1669974165658156,0.1644312867096492,0.16212300211191177
FF,7243,0,0,0,55.94,17.02,78.6,A,19,0,4,5,40.565968,16.226389,0.1263150026400884,0.12294571527412959,0.11892125010490417
BB,1577,0,0,0,0,7.02,11.74,A,13.2,0,3,4,44.26693,0,0.14331049720446268,0.1408587098121643,0.13901199400424957
BB,190,0,0,0,0.3,31.16,3,A,15,0,0,4,44.26693,0,0.14995350440343222,0.14875243178435735,0.14770600199699402
AA,8275,0,0,0,0,23.65,97.68,B,10.35,0,0,6,44.26693,0,0.1705081673959891,0.16912028406347548,0.1677979975938797
BB,19778,0,0,0,162.98,27.86,246.99,A,23.1,0,3,4,40.728886,16.291555,0.12399699973563354,0.1216677161199706,0.11933600157499313
BB,27162,28317,0,1,0,34,203.98,A,24,0,2,3,40.565968,16.226389,0.1227555808921655,0.12045528420380183,0.11817499995231628
BB,10556,11006,0,1,0,29.85,147.3,A,20.785,0,0,4,40.565968,16.226389,0.12536008469760418,0.12244300012077604,0.11991599947214127
BB,86254,0,0,0,0,17.1,48.3,A,10.35,0,4,5,44.44471,0,0.1490413323044777,0.1465111438717161,0.14446549862623215
DD,7502,0,0,0,141.68,36.24,122.45,E,14.49,0,3,5,44.26693,0,0.14583841587106386,0.14439000189304352,0.1429322548210621
FF,24155,0,0,0,0,15.16,225.94,A,10.392,0,0,5,44.26693,0,0.1677971656123797,0.16752014415604727,0.16663800179958344
BB,2190,0,0,0,0,23.76,34.09,A,10.392,0,0,4,44.26693,0,0.15121008455753326,0.14986085891723633,0.14858600497245789
DD,12059,0,0,0,0,30,154.4,E,15.001,0,2,4,40.728886,16.291555,0.12207966359953086,0.11991871254784721,0.11758700013160706
AA,23871,0,0,0,0,4.86,258.21,E,10.392,0,0,6,44.26693,0,0.1482293332616488,0.14703457057476044,0.1459994986653328
AA,1611,0,0,0,0,21.48,25.18,B,10.392,0,0,4,44.26693,0,0.1512171688179175,0.14986085891723633,0.14858600497245789
BB,9779,0,0,0,0,27.32,94.6,A,13.2,0,0,4,44.26693,0,0.1512171688179175,0.14986085891723633,0.14858600497245789
DD,3968,8468,0,1,0,23.52,57.87,B,14.49,0,0,5,44.26693,0,0.14887133737405142,0.1479144309248243,0.14678800106048584
AA,6936,0,0,0,0,16.92,81.99,B,10.392,0,0,5,44.26693,0,0.17069866135716438,0.16981056545461928,0.16895799338817596
FF,4833,0,0,0,47.38,43.32,56.61,B,17.321,0,2,4,40.728886,16.291555,0.124421251937747,0.12223771533795766,0.1199060007929802
BB,3354,0,0,0,0,33.12,48.4,B,13.2,0,5,7,44.44471,0,0.15081116432944933,0.1491147130727768,0.1472802497446537
DD,15919,0,0,0,716.53,14.7,174.82,B,13.856,0,0,6,44.26693,0,0.14719383418560028,0.14602871239185333,0.14504699409008026
FF,6068,0,0,0,0,17.76,61.72,B,11.4,0,5,6,44.26693,0,0.1480324144164721,0.14612342417240143,0.14466824382543564
AA,3549,0,0,0,0,26.73,54.64,B,13.2,0,0,5,44.26693,0,0.15070391818881035,0.14946028590202332,0.1483372487127781
BB,4197,0,0,0,101.6,21.58,51.82,A,13.856,0,4,5,44.26693,0,0.15000933408737183,0.14826957029955729,0.14625349640846252
BB,14923,0,0,0,0,22.89,57.28,E,13.856,0,0,4,44.26693,0,0.1498646711309751,0.14860014617443085,0.14743950217962265
BB,4407,0,0,0,82.75,25.84,42.68,A,12.5,0,0,4,44.26693,0,0.15005741640925407,0.14887485333851405,0.147599995136261
BB,5254,0,0,0,0,40.92,44.63,A,16.4,0,3,5,40.565968,16.226389,0.12746316815416017,0.1250408568552562,0.12258774787187576
BB,1912,0,0,0,0,27.28,23.1,A,13.15,0,3,4,44.26693,0,0.1495685006181399,0.14751385578087398,0.14493099600076675
BB,17923,0,0,0,159.56,21,223.57,A,19.8,0,0,3,40.565968,16.226389,0.12524616780380407,0.12224771401711873,0.11991599947214127
BB,6186,0,0,0,168.14,20.48,75.98,A,13.15,0,5,6,44.26693,0,0.14972108354171118,0.14777542650699615,0.14538874477148056
BB,22458,7076,0,1,77.34,34.56,133.7,A,17.321,0,2,4,40.565968,16.226389,0.1258647534996271,0.12230071744748525,0.11996900290250778
BB,6181,0,0,0,0,17.82,73.96,A,15,0,3,4,44.26693,0,0.14680233349402746,0.14483614478792464,0.14330600202083588
BB,3903,3665,0,1,80.29,19.2,52.09,A,10.392,0,4,6,44.44471,0,0.1497275816897551,0.14887485333851405,0.147599995136261
BB,29752,136558,0,1,552.92,8.98,215.98,A,10.392,0,0,4,44.26693,0,0.14713683476050696,0.14593099909169333,0.14487599581480026
BB,11474,0,0,0,80.69,43.32,94.12,E,17.35,0,3,5,40.565968,16.226389,0.12520591852565607,0.12117128606353487,0.1188490018248558
FF,8190,0,0,0,306.94,39.14,77.6,B,17.25,0,0,6,40.565968,16.226389,0.1277973335236311,0.12571971437760762,0.12338799983263016
AA,2946,0,0,0,6.64,12.36,3.63,B,10.392,0,0,5,44.26693,0,0.1497394951681296,0.14857699615614756,0.147599995136261
BB,7581,0,0,0,0,16.92,118.26,E,13.2,0,0,4,44.26693,0,0.15070391818881035,0.14946028590202332,0.1483372487127781
